ISO_A2,University,Count,Country,Region,Population
US,Bethune-Cookman College,2074,United States of America,Americas,#N/A
US,Biola University,2074,United States of America,Americas,#N/A
US,Birmingham-Southern College,2074,United States of America,Americas,#N/A
US,Blackburn College,2074,United States of America,Americas,#N/A
US,Black Hawk College,2074,United States of America,Americas,#N/A
US,Black Hills State University,2074,United States of America,Americas,#N/A
US,Blessing-Rieman College of Nursing,2074,United States of America,Americas,#N/A
US,Bloomfield College,2074,United States of America,Americas,#N/A
US,Bloomsburg University of Pennsylvania,2074,United States of America,Americas,#N/A
US,Bluefield College,2074,United States of America,Americas,#N/A
US,Bluefield State College,2074,United States of America,Americas,#N/A
US,Blue Mountain College,2074,United States of America,Americas,#N/A
US,Bluffton College,2074,United States of America,Americas,#N/A
US,Bob Jones University,2074,United States of America,Americas,#N/A
US,Boise Bible College,2074,United States of America,Americas,#N/A
US,Boise State University,2074,United States of America,Americas,#N/A
US,Boricua College,2074,United States of America,Americas,#N/A
US,Boston Architectural Center,2074,United States of America,Americas,#N/A
US,Boston College,2074,United States of America,Americas,#N/A
US,Boston University,2074,United States of America,Americas,#N/A
US,Bowdoin College,2074,United States of America,Americas,#N/A
US,Bowie State University,2074,United States of America,Americas,#N/A
US,Bowling Green State University,2074,United States of America,Americas,#N/A
US,"Bowling Green State University, Firelands",2074,United States of America,Americas,#N/A
US,Bradley University,2074,United States of America,Americas,#N/A
US,Brandeis University,2074,United States of America,Americas,#N/A
US,Brandman University,2074,United States of America,Americas,#N/A
US,Brenau University,2074,United States of America,Americas,#N/A
US,Brescia University,2074,United States of America,Americas,#N/A
US,Brevard College,2074,United States of America,Americas,#N/A
US,Brewton-Parker College,2074,United States of America,Americas,#N/A
US,Breyer State University (Virtual University),2074,United States of America,Americas,#N/A
US,Briar Cliff College,2074,United States of America,Americas,#N/A
US,Bridgewater College,2074,United States of America,Americas,#N/A
US,Bridgewater State College,2074,United States of America,Americas,#N/A
US,Brigham Young University,2074,United States of America,Americas,#N/A
US,Brigham Young University,2074,United States of America,Americas,#N/A
US,Brigham Young University Hawaii,2074,United States of America,Americas,#N/A
US,Brooklyn Law School,2074,United States of America,Americas,#N/A
US,Brooks Institute of Photography,2074,United States of America,Americas,#N/A
US,Brown University,2074,United States of America,Americas,#N/A
US,Brunswick Community College,2074,United States of America,Americas,#N/A
US,Bryan College,2074,United States of America,Americas,#N/A
US,Bryant and Stratton College,2074,United States of America,Americas,#N/A
US,Bryant University,2074,United States of America,Americas,#N/A
US,Bryn Athyn College of the New Church,2074,United States of America,Americas,#N/A
US,Bryn Mawr College,2074,United States of America,Americas,#N/A
US,Bucknell University,2074,United States of America,Americas,#N/A
US,Buena Vista University,2074,United States of America,Americas,#N/A
US,Burlington College,2074,United States of America,Americas,#N/A
US,Butler University,2074,United States of America,Americas,#N/A
US,Cabrini College,2074,United States of America,Americas,#N/A
US,Caldwell College,2074,United States of America,Americas,#N/A
US,California Baptist College,2074,United States of America,Americas,#N/A
US,California Coast University,2074,United States of America,Americas,#N/A
US,California College for Health Sciences,2074,United States of America,Americas,#N/A
US,California College of Arts and Crafts,2074,United States of America,Americas,#N/A
US,California College of Podiatric Medicine,2074,United States of America,Americas,#N/A
US,California College San Diego,2074,United States of America,Americas,#N/A
US,California Institute of Integral Studies,2074,United States of America,Americas,#N/A
US,California Institute of Technology,2074,United States of America,Americas,#N/A
US,California Institute of the Arts,2074,United States of America,Americas,#N/A
US,California Lutheran University,2074,United States of America,Americas,#N/A
US,California Maritime Academy,2074,United States of America,Americas,#N/A
