ISO_A2,University,Count,Country
GB,"London School of Hygiene & Tropical Medicine, University of London",169,United Kingdom
GB,London School of Jewish Studies,169,United Kingdom
GB,Loughborough University,169,United Kingdom
GB,Middlesex University,169,United Kingdom
GB,Napier University,169,United Kingdom
GB,Newport International University,169,United Kingdom
GB,Nottingham Trent University,169,United Kingdom
GB,Open University,169,United Kingdom
GB,Oxford Brookes University,169,United Kingdom
GB,"Queen Mary and Westfield College, University of London",169,United Kingdom
GB,Richmond University - The American International University in London,169,United Kingdom
GB,Roehampton University of Surrey,169,United Kingdom
GB,"Royal Academy of Music, University of London",169,United Kingdom
GB,Royal College of Art,169,United Kingdom
GB,"Royal College of Music, University of London",169,United Kingdom
GB,"Royal Free Hospital School of Medicine, University of London",169,United Kingdom
GB,Royal Holloway and Bedford New College,169,United Kingdom
GB,"Saint George's Hospital Medical School, University of London",169,United Kingdom
GB,"Schiller International University, London",169,United Kingdom
GB,"School of Oriental and African Studies, University of London",169,United Kingdom
GB,"School of Pharmacy, University of London",169,United Kingdom
GB,"School of Slavonic and East European Studies, University of London",169,United Kingdom
GB,Sheffield Hallam University,169,United Kingdom
GB,Sotheby´s Institute of Art - London,169,United Kingdom
GB,Southampton Solent University,169,United Kingdom
GB,South Bank University,169,United Kingdom
GB,Staffordshire University,169,United Kingdom
GB,"St.Patrick's International College, London",169,United Kingdom
GB,Stratford College London,169,United Kingdom
GB,Swansea Metropolitan University,169,United Kingdom
GB,Thames Valley University,169,United Kingdom
GB,The American University in London,169,United Kingdom
GB,The Manchester Metropolitan University,169,United Kingdom
GB,The Queen's University Belfast,169,United Kingdom
GB,The Robert Gordon University,169,United Kingdom
GB,Trinity College Carmarthen,169,United Kingdom
GB,Trinity College of Music,169,United Kingdom
GB,"United Medical and Dental Schools, University of London",169,United Kingdom
GB,University Campus Suffolk,169,United Kingdom
GB,"University College London, University of London",169,United Kingdom
GB,University of Aberdeen,169,United Kingdom
GB,University of Abertay Dundee,169,United Kingdom
GB,University of Bath,169,United Kingdom
GB,University of Bedfordshire,169,United Kingdom
GB,University of Birmingham,169,United Kingdom
GB,University of Bolton,169,United Kingdom
GB,University of Bradford,169,United Kingdom
GB,University of Brighton,169,United Kingdom
GB,University of Bristol,169,United Kingdom
GB,University of Buckingham,169,United Kingdom
GB,University of Cambridge,169,United Kingdom
GB,University of Central Lancashire,169,United Kingdom
GB,University of Chester,169,United Kingdom
GB,University of Derby,169,United Kingdom
GB,University of Dundee,169,United Kingdom
GB,University of Durham,169,United Kingdom
